
> idfm-node-backend@1.0.0 map:isochrones:build
> tsx src/transport/isochrones/build-isochrones.ts --all --requests-per-minute 6000 --keep-archives

Walking radar: 30754 origins, 0 cached, 30754 pending, at least 6151 ORS requests.
Catalog/provider/validation changed: rebuilding scopes from verified origin checkpoints. Older caches are kept but not reused.
ORS: 5/30754 processed; 1 requests; 0 unavailable origins.
ORS: 10/30754 processed; 2 requests; 0 unavailable origins.
ORS: 15/30754 processed; 3 requests; 0 unavailable origins.
ORS: 20/30754 processed; 4 requests; 0 unavailable origins.
ORS: 25/30754 processed; 5 requests; 0 unavailable origins.
ORS: 30/30754 processed; 6 requests; 0 unavailable origins.
ORS: 35/30754 processed; 7 requests; 0 unavailable origins.
ORS: 40/30754 processed; 8 requests; 0 unavailable origins.
ORS: 45/30754 processed; 9 requests; 0 unavailable origins.
ORS: 50/30754 processed; 10 requests; 0 unavailable origins.
ORS: 55/30754 processed; 11 requests; 0 unavailable origins.
ORS: 60/30754 processed; 12 requests; 0 unavailable origins.
ORS: 65/30754 processed; 13 requests; 0 unavailable origins.
ORS: 70/30754 processed; 14 requests; 0 unavailable origins.
ORS: 75/30754 processed; 15 requests; 0 unavailable origins.
ORS: 80/30754 processed; 16 requests; 0 unavailable origins.
ORS: 85/30754 processed; 17 requests; 0 unavailable origins.
ORS: 90/30754 processed; 18 requests; 0 unavailable origins.
ORS: 95/30754 processed; 19 requests; 0 unavailable origins.
ORS: 100/30754 processed; 20 requests; 0 unavailable origins.
ORS: 105/30754 processed; 21 requests; 0 unavailable origins.
ORS: 110/30754 processed; 22 requests; 0 unavailable origins.
ORS: 115/30754 processed; 23 requests; 0 unavailable origins.
ORS: 120/30754 processed; 24 requests; 0 unavailable origins.
ORS: 125/30754 processed; 25 requests; 0 unavailable origins.
ORS: 130/30754 processed; 26 requests; 0 unavailable origins.
ORS: 135/30754 processed; 27 requests; 0 unavailable origins.
ORS: 140/30754 processed; 28 requests; 0 unavailable origins.
ORS: 145/30754 processed; 29 requests; 0 unavailable origins.
ORS: 150/30754 processed; 30 requests; 0 unavailable origins.
ORS: 155/30754 processed; 31 requests; 0 unavailable origins.
ORS: 160/30754 processed; 32 requests; 0 unavailable origins.
ORS: 165/30754 processed; 33 requests; 0 unavailable origins.
ORS: 170/30754 processed; 34 requests; 0 unavailable origins.
ORS: 175/30754 processed; 35 requests; 0 unavailable origins.
ORS: 180/30754 processed; 36 requests; 0 unavailable origins.
ORS: 185/30754 processed; 37 requests; 0 unavailable origins.
ORS: 190/30754 processed; 38 requests; 0 unavailable origins.
ORS: 195/30754 processed; 39 requests; 0 unavailable origins.
ORS: 200/30754 processed; 40 requests; 0 unavailable origins.
ORS: 205/30754 processed; 41 requests; 0 unavailable origins.
ORS: 210/30754 processed; 42 requests; 0 unavailable origins.
ORS: 215/30754 processed; 43 requests; 0 unavailable origins.
ORS: 220/30754 processed; 44 requests; 0 unavailable origins.
ORS: 225/30754 processed; 45 requests; 0 unavailable origins.
ORS: 230/30754 processed; 46 requests; 0 unavailable origins.
ORS: 235/30754 processed; 47 requests; 0 unavailable origins.
ORS: 240/30754 processed; 48 requests; 0 unavailable origins.
ORS: 245/30754 processed; 49 requests; 0 unavailable origins.
ORS: 250/30754 processed; 50 requests; 0 unavailable origins.
ORS: 255/30754 processed; 51 requests; 0 unavailable origins.
ORS: 260/30754 processed; 52 requests; 0 unavailable origins.
ORS: 265/30754 processed; 53 requests; 0 unavailable origins.
ORS: 270/30754 processed; 54 requests; 0 unavailable origins.
ORS: 275/30754 processed; 55 requests; 0 unavailable origins.
ORS: 280/30754 processed; 56 requests; 0 unavailable origins.
ORS: 285/30754 processed; 57 requests; 0 unavailable origins.
ORS: 290/30754 processed; 58 requests; 0 unavailable origins.
ORS: 295/30754 processed; 59 requests; 0 unavailable origins.
ORS: 300/30754 processed; 60 requests; 0 unavailable origins.
ORS: 305/30754 processed; 61 requests; 0 unavailable origins.
ORS: 310/30754 processed; 62 requests; 0 unavailable origins.
ORS: 315/30754 processed; 63 requests; 0 unavailable origins.
ORS: 320/30754 processed; 64 requests; 0 unavailable origins.
ORS: 325/30754 processed; 65 requests; 0 unavailable origins.
ORS: 330/30754 processed; 66 requests; 0 unavailable origins.
ORS: 335/30754 processed; 67 requests; 0 unavailable origins.
ORS: 340/30754 processed; 68 requests; 0 unavailable origins.
ORS: 345/30754 processed; 69 requests; 0 unavailable origins.
ORS: 350/30754 processed; 70 requests; 0 unavailable origins.
ORS: 355/30754 processed; 71 requests; 0 unavailable origins.
ORS: 360/30754 processed; 72 requests; 0 unavailable origins.
ORS: 365/30754 processed; 73 requests; 0 unavailable origins.
ORS: 370/30754 processed; 74 requests; 0 unavailable origins.
ORS: 375/30754 processed; 75 requests; 0 unavailable origins.
ORS: 380/30754 processed; 76 requests; 0 unavailable origins.
ORS: 385/30754 processed; 77 requests; 0 unavailable origins.
ORS: 390/30754 processed; 78 requests; 0 unavailable origins.
ORS: 395/30754 processed; 79 requests; 0 unavailable origins.
ORS: 400/30754 processed; 80 requests; 0 unavailable origins.
ORS: 405/30754 processed; 81 requests; 0 unavailable origins.
ORS: 410/30754 processed; 82 requests; 0 unavailable origins.
ORS: 415/30754 processed; 83 requests; 0 unavailable origins.
ORS: 420/30754 processed; 84 requests; 0 unavailable origins.
ORS: 425/30754 processed; 85 requests; 0 unavailable origins.
ORS: 430/30754 processed; 86 requests; 0 unavailable origins.
ORS: 435/30754 processed; 87 requests; 0 unavailable origins.
ORS: 440/30754 processed; 88 requests; 0 unavailable origins.
ORS: 445/30754 processed; 89 requests; 0 unavailable origins.
ORS: 450/30754 processed; 90 requests; 0 unavailable origins.
ORS: 455/30754 processed; 91 requests; 0 unavailable origins.
ORS: 460/30754 processed; 92 requests; 0 unavailable origins.
ORS: 465/30754 processed; 93 requests; 0 unavailable origins.
ORS: 470/30754 processed; 94 requests; 0 unavailable origins.
ORS: 475/30754 processed; 95 requests; 0 unavailable origins.
ORS: 480/30754 processed; 96 requests; 0 unavailable origins.
ORS: 485/30754 processed; 97 requests; 0 unavailable origins.
ORS: 490/30754 processed; 98 requests; 0 unavailable origins.
ORS: 495/30754 processed; 99 requests; 0 unavailable origins.
ORS: 500/30754 processed; 100 requests; 0 unavailable origins.
ORS: 505/30754 processed; 101 requests; 0 unavailable origins.
ORS: 510/30754 processed; 102 requests; 0 unavailable origins.
ORS: 515/30754 processed; 103 requests; 0 unavailable origins.
ORS: 520/30754 processed; 104 requests; 0 unavailable origins.
ORS: 525/30754 processed; 105 requests; 0 unavailable origins.
ORS: 530/30754 processed; 106 requests; 0 unavailable origins.
ORS: 535/30754 processed; 107 requests; 0 unavailable origins.
ORS: 540/30754 processed; 108 requests; 0 unavailable origins.
ORS: 545/30754 processed; 109 requests; 0 unavailable origins.
ORS: 550/30754 processed; 110 requests; 0 unavailable origins.
ORS: 555/30754 processed; 111 requests; 0 unavailable origins.
ORS: 560/30754 processed; 112 requests; 0 unavailable origins.
ORS: 565/30754 processed; 113 requests; 0 unavailable origins.
ORS: 570/30754 processed; 114 requests; 0 unavailable origins.
ORS: 575/30754 processed; 115 requests; 0 unavailable origins.
ORS: 580/30754 processed; 116 requests; 0 unavailable origins.
ORS: 585/30754 processed; 117 requests; 0 unavailable origins.
ORS: 590/30754 processed; 118 requests; 0 unavailable origins.
ORS: 595/30754 processed; 119 requests; 0 unavailable origins.
ORS: 600/30754 processed; 120 requests; 0 unavailable origins.
ORS: 605/30754 processed; 121 requests; 0 unavailable origins.
ORS: 610/30754 processed; 122 requests; 0 unavailable origins.
ORS: 615/30754 processed; 123 requests; 0 unavailable origins.
ORS: 620/30754 processed; 124 requests; 0 unavailable origins.
ORS: 625/30754 processed; 125 requests; 0 unavailable origins.
ORS: 630/30754 processed; 126 requests; 0 unavailable origins.
ORS: 635/30754 processed; 127 requests; 0 unavailable origins.
ORS: 640/30754 processed; 128 requests; 0 unavailable origins.
ORS: 645/30754 processed; 129 requests; 0 unavailable origins.
ORS: 650/30754 processed; 130 requests; 0 unavailable origins.
ORS: 655/30754 processed; 131 requests; 0 unavailable origins.
ORS: 660/30754 processed; 132 requests; 0 unavailable origins.
ORS: 665/30754 processed; 133 requests; 0 unavailable origins.
ORS: 670/30754 processed; 134 requests; 0 unavailable origins.
ORS: 675/30754 processed; 135 requests; 0 unavailable origins.
ORS: 680/30754 processed; 136 requests; 0 unavailable origins.
ORS: 685/30754 processed; 137 requests; 0 unavailable origins.
ORS: 690/30754 processed; 138 requests; 0 unavailable origins.
ORS: 695/30754 processed; 139 requests; 0 unavailable origins.
ORS: 700/30754 processed; 140 requests; 0 unavailable origins.
ORS: 705/30754 processed; 141 requests; 0 unavailable origins.
ORS: 710/30754 processed; 142 requests; 0 unavailable origins.
ORS: 715/30754 processed; 143 requests; 0 unavailable origins.
ORS: 720/30754 processed; 144 requests; 0 unavailable origins.
ORS: 725/30754 processed; 145 requests; 0 unavailable origins.
ORS: 730/30754 processed; 146 requests; 0 unavailable origins.
ORS: 735/30754 processed; 147 requests; 0 unavailable origins.
ORS: 740/30754 processed; 148 requests; 0 unavailable origins.
ORS: 745/30754 processed; 149 requests; 0 unavailable origins.
ORS: 750/30754 processed; 150 requests; 0 unavailable origins.
ORS: 755/30754 processed; 151 requests; 0 unavailable origins.
